Phylum;Class;Order;SubOrder;Family;Genus;Species;ProgenySize;ProgenySizeUnit;AdultSize;AdultSizeUnit;SampSize;ARMSCommon
Arthropoda;Maxillopoda;Calanoida;NA;NA;Acartia;clausi;3.60E-05;mg;0.00267;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Acartia;tonsa;4.05E-05;mg;0.00298;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Undinula;darwini;5.27E-05;mg;0.0169;mg;7;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Undinula;vulgaris;0.00026;mg;0.0617;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Acartia;lilljeborgi;4.30E-05;mg;0.00337;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;finmarchicus;0.0004;mg;0.12;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;glacialis;0.00044;mg;0.258;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;helgolandicus;0.00032;mg;0.0711;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;hyperboreus;0.00056;mg;0.757;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Eucalanus;bungii;0.000204;mg;0.258;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Eucalanus;pseudoattenuatus;0.000391;mg;0.108;mg;4;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Eucalanus;sp.;0.000529;mg;0.187;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Euchaeta;hebes;0.00156;mg;0.096;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Euchaeta;marina;0.00115;mg;0.0623;mg;4;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Euchaeta;norvegica;0.006;mg;0.722;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Euchaeta;spinosa;0.00309;mg;0.267;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Euchaeta;wolfendeni;0.000219;mg;0.0215;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Eurytemora;affinis;4.80E-05;mg;0.0023;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Eurytemora;herdmani;2.90E-05;mg;0.00178;mg;1;Crustaceans
Arthropoda;Maxillopoda;Harpacticoida;NA;NA;Euterpina;acutifrons;1.60E-05;mg;0.00112;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanoides;carinatus;0.00031;mg;0.048;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanopia;americanus;0.00014;mg;0.00494;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;australis;0.00024;mg;0.0808;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Gaidus;sp.;0.000735;mg;0.182;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;marshallae;0.000188;mg;0.172;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;pacificus;0.00025;mg;0.0804;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;propinquus;0.00037;mg;0.215;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Calanus;sinicus;0.0002;mg;0.08;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Candacia;aethiopica;0.000149;mg;0.0319;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Candacia;pachydactyla;0.000188;mg;0.0325;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Centropages;hamatus;4.00E-05;mg;0.01;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Centropages;typicus;3.20E-05;mg;0.0143;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Centropages;velificatus;4.00E-05;mg;0.00638;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Labidocera;euchaeta;0.00016;mg;0.048;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Labidocera;trispinosa;5.00E-05;mg;0.033;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pseudocalanus;moultoni;0.00015;mg;0.0051;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Temora;discaudata;1.17E-05;mg;0.00995;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Clausocalanus;furcatus;2.22E-05;mg;0.00207;mg;3;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Temora;turbinata;4.30E-05;mg;0.00382;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Corycaella;rostrata;5.65E-06;mg;0.00147;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Corycaeus;amazonicus;1.50E-05;mg;0.00157;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Corycaeus;giesbrechti;1.36E-05;mg;0.00198;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Corycaeus;speciosus;1.09E-05;mg;0.00845;mg;3;Crustaceans
Arthropoda;Maxillopoda;Cyclopoida;NA;NA;Oithona;plumifera;3.65E-05;mg;0.00124;mg;2;Crustaceans
Arthropoda;Maxillopoda;Cyclopoida;NA;NA;Oithona;setigera;1.16E-05;mg;0.00096;mg;1;Crustaceans
Arthropoda;Maxillopoda;Cyclopoida;NA;NA;Oithona;similis;1.40E-05;mg;0.0006;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Lubbockia;squillimana;2.44E-05;mg;0.00275;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Oncaea;conifera;3.35E-06;mg;0.00253;mg;2;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Oncaea;media;5.61E-06;mg;0.00211;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Oncaea;mediterranea;1.40E-05;mg;0.0026;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Oncaea;similis;1.88E-06;mg;0.00096;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Metridia;pacifica;0.0001;mg;0.0516;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pseudocalanus;elongatus;0.00014;mg;0.0084;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pseudocalanus;minutus;0.00017;mg;0.0086;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pseudocalanus;newmani;0.0001;mg;0.0047;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Paracalanus;aculeatus;3.10E-05;mg;0.00171;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Paracalanus;parvus;2.20E-05;mg;0.003;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Parvocalanus;crassirostris;1.60E-05;mg;0.00043;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Scolecithrix;danae;0.000256;mg;0.0283;mg;1;Crustaceans
Arthropoda;Maxillopoda;Cyclopoida;NA;NA;Oithona;nana;7.00E-06;mg;0.00024;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pseudodiaptomus;marinus;0.0001;mg;0.0065;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Sapphirina;nigromaculatagemma;6.88E-06;mg;0.0693;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Tortanus;discaudata;8.20E-05;mg;0.02;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pleuromamma;piseki;0.000103;mg;0.0104;mg;2;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Oncaea;spp.;1.60E-05;mg;0.00265;mg;1;Crustaceans
Arthropoda;Maxillopoda;Cyclopoida;NA;NA;Oithona;davisae;9.00E-06;mg;0.00023;mg;1;Crustaceans
Arthropoda;Maxillopoda;Cyclopoida;NA;NA;Oithona;simplex;1.30E-05;mg;0.00025;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Temora;stylifera;4.45E-05;mg;0.0155;mg;2;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Oncaea;venusta;3.78E-06;mg;0.00349;mg;2;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pleuromamma;abdominalis;0.000285;mg;0.123;mg;4;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pleuromamma;gracilis;0.00011;mg;0.0124;mg;5;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Temora;longicornis;4.00E-05;mg;0.015;mg;1;Crustaceans
Arthropoda;Maxillopoda;Poecilostomatoida;NA;NA;Sapphirina;gemma;7.05E-06;mg;0.0243;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Sinocalanus;tenellus;3.60E-05;mg;0.0051;mg;1;Crustaceans
Arthropoda;Maxillopoda;Calanoida;NA;NA;Pleuromamma;quadrungulata ;0.000197;mg;0.0196;mg;1;Crustaceans
