A;K;Linf
1.5168;0.06;7.983
1.4177;0.05;8.954
2.1299;0.2;3.363
1.0912;0.04;8.615
2.4732;0.11;7.1
2.2139;0.065;10.756
10.241;0.35;9.24
23.632;1.01;7.389
10.682;0.167;20.2
9.7356;0.168;18.3
NaN;NaN;NaN
4.6669;0.157;9.387
5.2781;0.172;9.6905
3.3622;0.064;16.59
6.3175;0.28;7.125
27.208;0.3;28.64
47.816;0.75;20.133
NaN;NaN;NaN
8.8398;0.189;14.77
5.9918;0.146;12.96
7.9081;0.17;14.69
5.3831;0.108;15.74
9.883;0.191;16.34
8.3812;0.199;13.3
11.318;0.259;13.8
NaN;NaN;NaN
1.8895;0.06;9.945
6.8441;0.32;6.754
NaN;NaN;NaN
10.559;0.242;13.778
15.829;0.339;14.745
5.1016;0.218;7.39
6.5018;0.232;8.85
12.628;0.21;18.99
1.8538;0.06;9.757
6.688;0.48;4.4
6.5487;0.47;4.4
2.275;0.11;6.531
1.4681;0.03;15.454
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
3.9204;0.37;3.346
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.733;0.35;16
14.635;0.436;10.6
NaN;0.3;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.189;0.92;5.9
0.82808;0.1;2.615
11.279;0.51;6.984
12.435;0.559;7.025
10.959;0.48;7.21
23.337;0.56;13.16
25.964;0.53;15.47
3.351;0.079;13.395
2.3697;0.092;8.134
2.4739;0.044;17.755
2.3615;0.062;12.028
2.29;0.079;9.154
3.2629;0.115;8.96
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
18.427;0.46;12.65
12.331;1.1;3.54
NaN;NaN;NaN
NaN;0.822;NaN
3.7808;0.149;8.013
NaN;NaN;NaN
NaN;0.44;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
2.1495;0.217;3.128
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.46;NaN
1.3173;0.16;2.6
1.9205;0.21;2.888
1.8531;0.22;2.66
2.4136;0.13;5.863
NaN;NaN;NaN
0.89015;0.03;9.37
NaN;NaN;NaN
5.7095;0.3;6.01
10.032;0.2523;12.557
5.8314;0.1325;13.898
4.5448;0.176;8.1546
3.1068;0.239;4.105
3.835;0.261;4.64
4.761;0.22;6.834
NaN;NaN;NaN
6.4993;0.4;5.131
4.2399;0.17;7.876
1.156;0.06;6.084
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
58.885;2.08;8.94
19.286;1.01;6.03
8.8287;0.41;6.8
15.884;0.57;8.8
9.8334;0.33;9.41
3.2858;0.21;4.941
4.8056;0.22;6.898
4.0139;0.28;4.527
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;11.147
NaN;NaN;8.84
NaN;NaN;7.39
3.5782;0.168;6.726
14.059;0.552;8.043
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
10.967;1.17;2.96
3.5156;0.14;7.93
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.7373;0.0526;10.43
1.7373;0.0526;10.43
1.7373;0.0526;10.43
NaN;NaN;NaN
NaN;NaN;NaN
19.099;0.7125;8.465
15.709;2.12;2.34
14.658;1.76;2.63
7.6076;0.84;2.86
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.472;NaN
NaN;0.368;NaN
2.0194;0.35;1.822
1.3061;0.21;1.964
NaN;0.21;NaN
NaN;0.314;NaN
1.5067;0.26;1.83
0.4085;0.215;0.6
2.0593;0.07;9.29
NaN;NaN;4.6
NaN;NaN;NaN
0.39545;0.056;2.23
16.394;0.313;16.54
11.249;0.217;16.37
9.1922;0.177;16.4
12.896;0.252;16.16
5.2171;0.156;10.561
7.107;0.252;8.906
21.509;0.9;7.547
NaN;NaN;NaN
3.053;0.458;2.105
3.2347;0.469;2.178
4.5449;0.913;1.572
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
6.5772;0.31;6.7
8.8934;0.79;3.555
9.6802;0.77;3.97
10.5;1.06;3.128
11.482;1.01;3.59
NaN;NaN;NaN
8.1225;0.9;2.85
4.7614;0.4;3.759
3.0163;0.17;5.603
NaN;NaN;NaN
NaN;NaN;NaN
9.5614;0.697;4.332
NaN;NaN;NaN
9.398;0.71;4.18
6.8273;0.14;15.4
5.9533;0.1;18.8
7.5367;0.14;17
8.0275;0.15;16.9
NaN;NaN;NaN
NaN;NaN;NaN
4.8758;0.21;7.332
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
6.5553;0.635;3.26
NaN;NaN;NaN
3.99;0.12;10.5
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
5.4961;0.2;8.678
8.123;0.245;10.47
1.5561;0.0732;6.713
12.952;1;4.09
NaN;NaN;NaN
1.461;0.088;5.243
2.1629;0.131;5.214
1.2261;0.079;4.901
1.8222;0.153;3.761
2.6454;0.174;4.801
0.89636;0.057;4.966
2.1036;0.147;4.519
2.9002;0.24;3.816
2.4048;0.142;5.348
2.8784;0.197;4.614
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
14.201;1.01;4.44
10.726;0.44;7.698
17.845;0.64;8.805
NaN;NaN;NaN
2.997;0.316;2.995
1.6492;0.14;3.72
1.6753;0.564;0.938
0.61016;0.237;0.813
2.8528;0.126;7.15
1.3599;0.064;6.71
NaN;NaN;NaN
NaN;NaN;NaN
0.32677;0.085;1.214
0.34757;0.112;0.98
12.396;0.24;16.31
10.527;0.22;15.11
7.8597;0.17;14.6
10.619;0.19;17.65
10.482;0.2;16.55
8.0256;0.16;15.84
10.553;0.19;17.54
10.138;0.19;16.85
10.297;0.22;14.78
9.0402;0.18;15.86
9.6327;0.19;16.01
11.039;0.21;16.6
10.24;0.19;17.02
11.099;0.21;16.69
3.9751;0.159;7.895
4.7865;0.203;7.446
9.755;0.403;7.644
5.0659;0.262;6.106
5.1809;0.295;5.546
3.2226;0.083;12.261
6.5425;0.19;10.874
4.3364;0.174;7.87
6.4967;0.193;10.63
4.0458;0.127;10.06
NaN;NaN;NaN
NaN;NaN;NaN
0.22481;0.13;0.5461
0.039078;0.061;0.2023
0.056012;0.11;0.1608
0.21957;0.167;0.4152
0.20016;0.175;0.3612
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.955;0.66;8.591
NaN;NaN;NaN
12.891;0.281;14.487
8.4572;0.365;7.317
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.9264;0.06;10.139
4.4525;0.12;11.717
2.1584;0.12;5.68
5.957;0.2089;9.005
10.558;0.399;8.356
4.5846;0.2754;5.257
4.2953;0.1635;8.296
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
9.4805;0.8146;3.6752
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
1.9364;0.317;1.929
NaN;NaN;NaN
NaN;NaN;NaN
5.9027;0.16;11.65
NaN;NaN;NaN
1.2496;0.128;3.083
NaN;NaN;NaN
13.199;0.8;5.21
6.6611;0.35;6.01
13.737;0.6;7.23
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
46.934;0.9294;15.947
1.9008;0.984;0.61
5.2928;0.313;5.34
3.7525;0.375;3.16
2.136;0.308;2.19
4.6528;0.43;3.417
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.284;NaN
NaN;0.189;NaN
30.881;0.92;10.6
0.97185;0.31;0.99
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
2.3551;0.071;10.475
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
4.4865;0.154;9.2
2.922;0.091;10.14
0.079055;0.042;0.5944
0.079055;0.042;0.5944
0.079055;0.042;0.5944
0.98079;0.072;4.3017
1.3814;0.202;2.1596
1.1476;0.064;5.6627
0.40139;0.251;0.505
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
6.08;0.48;4
10.237;0.26;12.433
1.957;0.06;10.3
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
14.016;0.249;17.775
NaN;NaN;NaN
NaN;NaN;NaN
7.1068;0.155;14.479
11.931;0.292;12.903
15.191;0.421;11.395
NaN;NaN;NaN
4.3125;0.119;11.444
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.216;0.655;8.3
8.36;0.8;3.3
14.749;1.48;3.147
5.7526;0.62;2.93
4.4298;0.3;4.663
9.1453;0.8;3.61
11.523;0.45;8.086
2.7996;0.14;6.315
9.3201;0.332;8.865
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
5.4128;0.302;5.66
11.83;0.536;6.97
9.6856;0.41;7.46
7.9275;0.393;6.37
4.7187;0.1298;11.48
NaN;NaN;NaN
0.34412;0.271;0.401
NaN;NaN;NaN
2.2004;0.1421;4.89
NaN;NaN;NaN
NaN;NaN;NaN
2.7332;0.2452;3.52
4.2734;0.2979;4.53
NaN;NaN;NaN
3.9417;0.1439;8.65
NaN;NaN;NaN
NaN;NaN;NaN
4.3253;0.0942;14.5
3.5015;0.1414;7.82
4.8697;0.1165;13.2
NaN;NaN;NaN
6.3713;0.4218;4.77
6.1488;0.3868;5.02
NaN;NaN;NaN
NaN;NaN;NaN
5.5876;0.277;6.37
NaN;NaN;NaN
4.016;0.1558;8.14
3.5677;0.203;5.55
4.1816;0.2073;6.37
NaN;NaN;NaN
NaN;NaN;NaN
4.5093;0.3605;3.95
2.45;0.1014;7.63
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
5.7557;0.1302;13.96
5.8482;0.36;5.13
4.6367;0.494;2.964
0.29485;0.045;2.0691
4.104;0.36;3.6
3.4637;0.1;10.938
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
25.017;1;7.9
NaN;NaN;NaN
7.9687;0.23;10.941
NaN;NaN;NaN
9.471;0.305;9.806
3.6637;0.16;7.231
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
12.409;0.89;4.403
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
10.619;0.19;17.65
8.0256;0.16;15.84
11.099;0.21;16.69
11.039;0.21;16.6
10.861;0.22;15.59
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
2.8502;0.2026;4.4426
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
0.73815;0.18;1.295
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.47;NaN
2.3528;0.305;2.436
10.206;0.2246;14.35
NaN;NaN;NaN
8.9287;0.38;7.42
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;0.39;NaN
NaN;0.46;NaN
NaN;0.11;NaN
NaN;0.09;NaN
NaN;0.14;NaN
NaN;0.12;NaN
NaN;0.19;NaN
NaN;0.25;NaN
NaN;0.3;NaN
NaN;0.3;NaN
NaN;0.39;NaN
NaN;0.37;NaN
NaN;0.48;NaN
NaN;0.53;NaN
NaN;0.67;NaN
NaN;0.53;NaN
NaN;0.37;NaN
NaN;0.71;NaN
NaN;0.6;NaN
0.62614;0.195;1.014
NaN;NaN;NaN
8.5951;0.47;5.775
NaN;NaN;NaN
NaN;NaN;NaN
10.613;0.76;4.41
8.8156;0.37;7.524
1.4212;0.34;1.32
NaN;NaN;NaN
5.4603;0.966;1.785
4.6517;0.631;2.328
5.2552;0.609;2.725
3.4494;0.15;7.262
1.9773;0.07;8.92
6.0705;0.54;3.55
5.5649;0.47;3.739
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
NaN;NaN;NaN
17.016;1.79;3.002
