Type;class;subclass;superorder;order;family;species;Taxa;Maximum_weight_g;rmax
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Aepyceros_melampus;Mammalia;44400;0.16
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Hemitragus_jemlahicus;Mammalia;35200;0.28
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Kobus_ellipsiprymnus;Mammalia;1.88E+05;0.25
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Kobus_kob;Mammalia;59200;0.21
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Ovis_dalli;Mammalia;60000;0.13
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Rupicapra_rupicapra;Mammalia;26100;0.09
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Bovidae;Syncerus_caffer;Mammalia;5.47E+05;0.01
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Cervidae;Alces_alces;Mammalia;4.08E+05;0.27
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Cervidae;Cervus_elaphus;Mammalia;1.09E+05;0.12
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Cervidae;Odocoileus_hemionus;Mammalia;56300;0.5
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Cervidae;Rangifer_tarandus;Mammalia;93600;0.26
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Hippopotamidae;Hippopotamus_amphibius;Mammalia;1.36E+06;0.06
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Suidae;Phacochoerus_aethiopicus;Mammalia;54000;0.46
Terrestrial;Mammalia;Theria;Eutheria;Artiodactyla;Suidae;Sus_scrofa;Mammalia;54800;0.98
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Canidae;Alopex_lagopus;Mammalia;3000;2.64
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Canidae;Canis_lupus;Mammalia;27000;1.63
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Canidae;Urocyon_cinereoargenteus;Mammalia;3300;1.06
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Canidae;Vulpes_vulpes;Mammalia;3650;1.78
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Felidae;Felis_catus;Mammalia;2620;1.92
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Felidae;Lynx_rufus;Mammalia;7100;0.91
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Mustelidae;Lontra_canadensis;Mammalia;4600;0.48
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Mustelidae;Mephitis_mephitis;Mammalia;2000;1.52
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Mustelidae;Mustela_putorius;Mammalia;650;1.73
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Mustelidae;Taxidea_taxus;Mammalia;4100;0.38
Marine;Mammalia;Theria;Eutheria;Carnivora;Otariidae;Callorhinus_ursinus;Mammalia;42400;0.13
Marine;Mammalia;Theria;Eutheria;Carnivora;Phocidae;Halichoerus_grypus;Mammalia;1.82E+05;0.12
Marine;Mammalia;Theria;Eutheria;Carnivora;Phocidae;Mirounga_leonina;Mammalia;5.58E+05;0.08
Marine;Mammalia;Theria;Eutheria;Carnivora;Phocidae;Pusa_hispida;Mammalia;69700;0.15
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Ursidae;Ailuropoda_melanoleuca;Mammalia;1.20E+05;0.12
Terrestrial;Mammalia;Theria;Eutheria;Carnivora;Ursidae;Ursus_americanus;Mammalia;87200;0.23
Marine;Mammalia;Theria;Eutheria;Cetacea;Balaenopteridae;Balaenoptera_acutorostrata;Mammalia;6.60E+06;0.1
Marine;Mammalia;Theria;Eutheria;Cetacea;Balaenopteridae;Balaenoptera_borealis;Mammalia;1.90E+07;0.08
Marine;Mammalia;Theria;Eutheria;Cetacea;Balaenopteridae;Balaenoptera_physalus;Mammalia;5.00E+07;0.07
Marine;Mammalia;Theria;Eutheria;Cetacea;Delphinidae;Delphinapterus_leucas;Mammalia;4.00E+05;0.02
Marine;Mammalia;Theria;Eutheria;Cetacea;Delphinidae;Globicephala_melas;Mammalia;8.90E+05;0.05
Marine;Mammalia;Theria;Eutheria;Cetacea;Delphinidae;Globicephala_macrorhynchus;Mammalia;3.60E+06;0
Marine;Mammalia;Theria;Eutheria;Cetacea;Delphinidae;Orcinus_orca;Mammalia;3.00E+06;0.04
Marine;Mammalia;Theria;Eutheria;Cetacea;Delphinidae;Stenella_attenuata;Mammalia;1.00E+05;0.03
Marine;Mammalia;Theria;Eutheria;Cetacea;Delphinidae;Tursiops_sp;Mammalia;2.00E+05;0.11
Marine;Mammalia;Theria;Eutheria;Cetacea;Eschrichtiidae;Eschrichtius_robustus;Mammalia;3.15E+07;0.08
Marine;Mammalia;Theria;Eutheria;Cetacea;Monodontidae;Monodon_monoceros;Mammalia;1.00E+06;0.03
Marine;Mammalia;Theria;Eutheria;Cetacea;Physeteridae;Physeter_macrocephalus;Mammalia;2.00E+07;0.02
Terrestrial;Mammalia;Theria;Eutheria;Chiroptera;Rhinolophidae;Rhinolophus_ferrumequinum;Mammalia;20;0.11
Terrestrial;Mammalia;Theria;Eutheria;Chiroptera;Vespertilionidae;Eptesicus_fuscus;Mammalia;20;0.45
Terrestrial;Mammalia;Theria;Eutheria;Chiroptera;Vespertilionidae;Pipistrellus_pipistrellus;Mammalia;10;0.24
Terrestrial;Mammalia;Theria;Eutheria;Chiroptera;Vespertilionidae;Pipistrellus_subflavus;Mammalia;10;0.21
Terrestrial;Mammalia;Theria;Eutheria;Insectivora;Erinaceidae;Erinaceus_europaeus;Mammalia;770;1.91
Terrestrial;Mammalia;Theria;Eutheria;Insectivora;Talpidae;Talpa_europaea;Mammalia;90;1.21
Terrestrial;Mammalia;Theria;Eutheria;Lagomorpha;Leporidae;Lepus_europaeus;Mammalia;3730;4.35
Terrestrial;Mammalia;Theria;Eutheria;Lagomorpha;Leporidae;Oryctolagus_cuniculus;Mammalia;1550;6.53
Terrestrial;Mammalia;Theria;Eutheria;Lagomorpha;Leporidae;Sylvilagus_floridanus;Mammalia;1270;7.41
Terrestrial;Mammalia;Theria;Eutheria;Lagomorpha;Ochotonidae;Ochotona_princeps;Mammalia;140;2.23
Terrestrial;Mammalia;Theria;Eutheria;Perissodactyla;Equidae;Equus_caballus;Mammalia;4.10E+05;0.08
Terrestrial;Mammalia;Theria;Eutheria;Perissodactyla;Equidae;Equus_burchelli;Mammalia;2.68E+05;0.11
Terrestrial;Mammalia;Theria;Eutheria;Primates;Cercopithecidae;Macaca_sinica;Mammalia;3590;0.14
Terrestrial;Mammalia;Theria;Eutheria;Primates;Hominidae;Pan_troglodytes;Mammalia;34300;0.05
Terrestrial;Mammalia;Theria;Eutheria;Proboscidea;Elephantidae;Loxodonta_africana;Mammalia;2.77E+06;0.01
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Dipodidae;Zapus_princeps;Mammalia;30;1.04
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Miocastoridae;Myocastor_coypus;Mammalia;5300;4.11
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Muridae;Apodemus_flavicollis;Mammalia;30;10.02
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Muridae;Clethrionomys_glareolus;Mammalia;20;16.41
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Muridae;Peromyscus_maniculatus;Mammalia;20;15.88
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Muridae;Tachyoryctes_splendens;Mammalia;200;2.73
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Marmota_flaviventris;Mammalia;2510;0.43
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Sciurus_carolinensis;Mammalia;570;2.46
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Spermophilus_lateralis;Mammalia;160;0.99
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Spermophilus_armatus;Mammalia;270;1.51
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Spermophilus_beldingi;Mammalia;260;1.62
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Tamias_striatus;Mammalia;100;3.39
Terrestrial;Mammalia;Theria;Eutheria;Rodentia;Sciuridae;Tamiasciurus_hudsonicus;Mammalia;200;1.2
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
